index,name,status,source_page,image_url,detector,score,face_count,sha256
34,Samaret Caraballo,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/162342,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/vk6jimz2opbm5fyvgrfj.webp,yunet@0,0.9435,1,826dec966e41aeebbf14b731ffd0c783249fc3f61e0be6f1575e52b49e3e8cdf
35,Iliana Rodriguez Fung,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/182751,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/My_SARAH_G_INTERVIEW_experience_%28raw_video%29.webm/1920px--My_SARAH_G_INTERVIEW_experience_%28raw_video%29.webm.jpg,yunet@0,0.9400,1,6ddaf37047d4beb984836214fedd71d4e7b57649e7ae5d52604fabef2c2551cf
36,Yanlis Feliz Sena,missing,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/157914,,,,0,
37,Ailyn Liberato,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/173526,,,,0,
38,Selanny Puente Estrella,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/183310,,,,0,
39,Esthefany Rabit,missing,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/168727,,,,0,
40,Ana Patricia Encarnacion Montero,missing,https://en.volleyballworld.com/volleyball/competitions/girls-u17-world-championship/2024/players/206369,,,,0,
41,Thais Chantal Cocly Vasquez,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191765,,,,0,
42,Estel Santos Mateo,replacement,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/206587,https://upload.wikimedia.org/wikipedia/commons/3/3a/Mateo_01.jpg?utm_source=es.wikipedia.org&utm_campaign=api&utm_content=original,yunet@0,0.8827,1,52db879dae8bc2f7afd9f5c5236c90931c42ad7276a96d8b09b86184e97bff4d
43,Aurelina Ruiz Rosario,replacement,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213373,https://upload.wikimedia.org/wikipedia/commons/d/d0/Dorival_caymmi_1938.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,yunet@0,0.9325,1,67db123645ec50f45c5d2292b08f07514f38ac4d0335272215471abe1e566655
44,Julie Millaray Arias Alejo,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191753,,,,0,
45,Valerie Mariel Vargas Guzman,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213380,,,,0,
46,Harleny Linette De los Santos Baez,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/223204,,,,0,
47,Jakarlis Marianni Lima Garcia,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/213386,,,,0,
48,Glorybell Puente Estrella,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191891,,,,0,
49,Jismeily Flete Savinon,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2025/players/191755,,,,0,
50,Dilenny Michel Maleno Mendez,missing,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/191771,,,,0,
